start -> translation: (5.2, 6.0, 0.05)| rotation: (0.0, 0.0, 1.0, 0.0)
x: 0.0, y: 0.0
x: 0.11120535793106198, y: 0.033555756063163966
x: 0.17863698805995556, y: 0.6892817068729064
x: -0.07723655976846845, y: 0.7438030156147295
x: -0.2727191124201546, y: 0.49459569393416536
x: -0.44959044332546266, y: 0.203843982418388
x: -0.511023430454431, y: -0.7249810042237286
x: -0.5727237648250575, y: -1.6778437099840324
x: -0.6680733214186829, y: -2.498646238617837
x: -0.9710151700887256, y: -3.0936116171830177
x: -1.5957653711204183, y: -3.2330106386698874
x: -2.138772350116519, y: -2.842661467499879
x: -2.1199603086476824, y: -2.3320360565086067
x: -1.9632762537628878, y: -2.3107832626295903
x: -2.0011472266992767, y: -2.1546305164881505
x: -2.1794503775015657, y: -1.39073667796407
x: -2.069155950623, y: -0.764544120639594
x: -2.0183925803255662, y: -0.5268109693432558
x: -2.0302806225472643, y: -0.20014050435318906
x: -2.220711777671016, y: 0.612314335180724
x: -2.214284266499723, y: 0.9472685229764072
x: -2.686915169997081, y: 0.9908506177902301
x: -3.639621704931662, y: 1.0549165111631607
x: -4.395162923050519, y: 1.2225041455731338
x: -4.428574829582129, y: 1.8139672200915828
x: -3.897693595633063, y: 2.3201640318839623
x: -3.210346444833526, y: 2.2313266994274246
x: -2.8693159469630216, y: 1.8872257468155118
x: -2.2395291338441323, y: 1.785709797583341
x: -2.1428957105929562, y: 1.6327685600895872
x: -2.126166962527863, y: 1.5443969277663279
x: -1.9871825527023321, y: 2.139518818851283
x: -2.2554136308821966, y: 2.2951492128245943
x: -2.9398301568675342, y: 2.6709284182291073
x: -3.112533820638706, y: 2.8370494433014186
x: -3.3984269480879163, y: 2.8954569141791153
x: -3.9153551237796074, y: 2.4448336660552585
x: -4.589323167921024, y: 2.2528434727729385
x: -4.720480629923433, y: 2.479502876231117
x: -4.415124206050333, y: 2.383887421526606
x: -4.533260346135914, y: 1.7314824054587694
x: -4.802615240850878, y: 1.5036197718180928
x: -4.982286140398335, y: 0.753438138058771
x: -5.036480664610877, y: 0.5185900158060884
x: -5.088644607346238, y: 0.2925251652480889
x: -5.063039480574816, y: 0.20477150114510412
x: -4.337370082087719, y: 0.07486884723748828
x: -3.7969361018739125, y: 0.18118648293522108
x: -3.105221298944156, y: 0.055527770665693185
x: -2.5189901933520167, y: -0.5177691461162929
x: -2.3657701436707868, y: -0.9526735112556491
x: -2.465584309949618, y: -1.696228899374944
x: -2.7009602982530723, y: -2.571998763422666
x: -3.0887543621772333, y: -2.769617619331391
x: -3.78195013708613, y: -2.5515390610965825
x: -4.079348852797949, y: -1.9531854644781965
x: -3.891834121156349, y: -1.3915783625235147
x: -3.660378848291688, y: -1.3768001348367784
x: -3.652027910468689, y: -1.3302256670644916
x: -4.174957040844421, y: -1.193483023319818
x: -4.405260708382013, y: -1.1337996499202954
x: -4.769030400865235, y: -1.1498920481402957
x: -5.034820683406726, y: -1.2378584896546232
x: -5.112065286243372, y: -2.1383931022642018
x: -5.190424119573232, y: -3.06195575808495
x: -5.237040147151932, y: -3.6113439332236563
x: -4.846218232671049, y: -3.6404418394909226
x: -4.081698599668985, y: -3.694946436067359
x: -3.8314320246171274, y: -3.7431501293967506
x: -3.6829118378227266, y: -3.02681557339636
x: -3.3778501183473177, y: -2.7402384298715097
x: -2.6942813757130923, y: -2.863370856138596
x: -2.2501005519979542, y: -3.370357222142253
x: -2.316480801794639, y: -4.057482007364982
x: -2.640270395115152, y: -4.401796900817628
x: -2.878999141230504, y: -5.0309398126191285
x: -3.4666513088198587, y: -5.3719197752923185
x: -4.154036521325575, y: -5.217910787176254
x: -4.715944989415749, y: -4.938987824807913
x: -4.938170920686659, y: -5.128295785825434
x: -5.154801262876947, y: -5.498518477367947
x: -4.999794621297664, y: -5.565706000536364
x: -4.485234555605935, y: -5.569869358981431
x: -4.247330842569513, y: -5.57179612671533
x: -3.933301770145696, y: -5.502547845949525
x: -3.112444316688432, y: -5.107505124379549
x: -2.4009047245316353, y: -5.028209326169972
x: -2.0021625528762734, y: -5.1267126559646865
x: -1.2995303587846843, y: -5.099326056390013
x: -1.2834402960566382, y: -5.080201174206634
x: -1.8158015943545514, y: -5.058544322553166
x: -2.432824307025777, y: -4.726612674453187
x: -2.5930501314016743, y: -4.04975120028059
x: -2.216144963808806, y: -3.423815805954134
x: -1.6518186972097053, y: -2.889090103501614
x: -1.4246297336749967, y: -2.7936387889761853
x: -1.422552144463726, y: -2.1383495428015435
x: -1.2048173176649057, y: -1.4817117494427736
x: -0.5715611761011654, y: -1.1631149842005448
x: 0.06484699212863641, y: -1.3603789410780742
x: 0.5133930377453111, y: -1.4440868698510023
x: 1.3029528330492293, y: -1.6019335676853503
x: 1.6915785270911439, y: -2.142743584427051
x: 1.6221360032301209, y: -2.5440646529389133
x: 1.3553285871520477, y: -2.3426092664025
x: 1.485517878738757, y: -1.6807247161161454
x: 1.5851637292185554, y: -1.494706436779201
x: 1.252009706114371, y: -0.9244969766821141
x: 1.326565130170163, y: -0.24960439438753607
x: 1.6698786527586236, y: -0.2762809315330663
x: 1.7349661631890108, y: -0.3245310283307354
x: 2.4291962960731017, y: -0.2891276770072755
x: 2.7388545963450177, y: -0.7782524554333828
x: 2.8519826706593383, y: -1.4689959225643692
x: 2.8162838680489157, y: -1.9210750399582575
x: 2.797569361758259, y: -2.133904820554607
x: 3.0859521296064174, y: -3.0053766758321516
x: 3.2382064612279513, y: -3.6819688373594337
x: 3.244487874144554, y: -4.160367677339733
x: 3.650266249138344, y: -4.186737124920043
x: 4.216743759976392, y: -4.182904192865055
x: 4.345749452272277, y: -4.182035564732456
x: 4.248937432703674, y: -3.447897119950009
x: 4.109689076359071, y: -2.499266946726564
x: 3.969853531829494, y: -1.546638480869817
x: 3.9036797795333835, y: -1.0958530040509231
