start -> translation: (5.2, 6.0, 0.05)| rotation: (0.0, 0.0, 1.0, 0.0)
x: 0.0, y: 0.0
x: 0.054712697593846844, y: -0.2953854733035049
x: -0.3138853424996045, y: -0.7124104659403538
x: -0.395707313942998, y: -0.9301823666539848
x: -0.37793831730775024, y: -1.7337196911678205
x: -0.5278248845296495, y: -2.423353036448465
x: -0.9534183355969373, y: -3.033150112677219
x: -1.579898402529997, y: -3.1821407592577304
x: -2.1344324100132694, y: -2.757635801279844
x: -2.0774500180599724, y: -2.2827344104677905
x: -2.0606246322148176, y: -1.8539834369271433
x: -2.0891697390883968, y: -0.8994482470967234
x: -2.118985360962083, y: 0.09879612290201682
x: -2.1427739551790346, y: 0.8936200935659624
x: -2.3682906193003253, y: 0.9452798265106518
x: -2.799661582822937, y: 0.9616343826195078
x: -3.0394731255749905, y: 0.9707279320655537
x: -3.5334008912930503, y: 0.7791045322758227
x: -4.214283788983629, y: 0.5797130321653018
x: -4.699258347991113, y: 0.982534301440681
x: -4.647107101193657, y: 1.6467745253360144
x: -4.076263722840454, y: 2.1085529887333005
x: -3.3661061006799278, y: 1.9750322653153265
x: -3.173291562959514, y: 1.8524441927083324
x: -2.293357445207789, y: 1.8558680053015117
x: -2.2269823730927505, y: 1.9300279201275312
x: -2.3169109468114413, y: 2.421834038045941
x: -3.002261459457769, y: 2.558131945610112
x: -3.3622364956690185, y: 2.754206784374828
x: -3.78012815221938, y: 2.7250684448808467
x: -4.01053063584292, y: 2.357999152671914
x: -4.486942500028813, y: 1.8062213244242378
x: -4.877501317682908, y: 1.7807126665005872
x: -4.951127918638927, y: 1.9824046173456036
x: -4.9609451579229376, y: 1.9533290751731238
x: -4.875288015159111, y: 1.1415688021208967
x: -4.7608625789588945, y: 0.14132064198426522
x: -4.6460675247313015, y: -0.1635422912317788
x: -4.112394573657914, y: -0.42754018335549454
x: -3.6907886577547835, y: -0.1901363101193961
x: -2.993876916340712, y: -0.022718698702072434
x: -2.328377567497425, y: -0.35180702645341183
x: -1.978316421306587, y: -0.8327926558802076
x: -1.959897752300477, y: -1.6434308352353264
x: -1.9681778156760366, y: -2.5453861459789078
x: -2.4235050102478173, y: -2.897462385303511
x: -3.055558953523805, y: -2.73868324896503
x: -3.4497259104246716, y: -2.1549117534544195
x: -3.341203339827055, y: -1.62796865882902
x: -3.130933829452776, y: -1.5644866373163187
x: -3.277428492045346, y: -1.5120340422251513
x: -3.8488528206934634, y: -1.4099048394353884
x: -4.087947978416175, y: -1.367164176380634
x: -4.447454385673554, y: -1.4107379394850983
x: -4.617467424948555, y: -1.7271506128658354
x: -4.764161801007522, y: -2.146888162378687
x: -4.842001324293237, y: -2.3696211584204514
x: -4.9089414371045486, y: -3.246076473511545
x: -4.953231110701564, y: -3.82569500124485
x: -4.613284067901152, y: -3.9317092067641433
x: -3.719924835938494, y: -4.128888611565867
x: -3.556471524546759, y: -4.133214133731321
x: -3.214994160080192, y: -3.324963007236998
x: -2.7246149197205813, y: -3.2308581422533567
x: -2.1574321077923893, y: -3.544372495746557
x: -1.9662127956535458, y: -4.202370530648321
x: -2.332033330675006, y: -4.809840287183012
x: -2.5682850458675834, y: -5.016737299789064
x: -3.089629105413639, y: -5.65614806179557
x: -3.768164127036085, y: -5.694736163557924
x: -4.49770684443498, y: -5.324264757361108
x: -4.60152351801038, y: -5.22550195670553
x: -5.1058321095668555, y: -5.341479139855779
x: -5.193617413135797, y: -5.655044216726245
x: -4.831826192381516, y: -5.721120930279348
x: -4.012200533310828, y: -5.857749976243687
x: -3.7114506579697233, y: -5.893740712471047
x: -2.882790845264784, y: -5.82898688456001
x: -2.2741545654236117, y: -6.148663104012698
x: -1.8870722771138682, y: -6.312859549391808
x: -1.3721844725757957, y: -6.448664399823404
x: -1.3721992071962252, y: -6.448701469685273
x: -2.0517635369423686, y: -6.125165951224304
x: -2.2064372852043865, y: -5.477437372169307
x: -1.852737155674442, y: -4.89857222788212
x: -1.1547674853845245, y: -4.617776032590778
x: -0.42922872180615096, y: -4.531048722672483
x: -0.28051414895663496, y: -4.514129819027218
x: 0.22291478414023644, y: -3.8309899260755427
x: 0.8082843297621223, y: -3.5787150226569944
x: 1.462855522562669, y: -3.8651034255884396
x: 1.6878432788701463, y: -4.350041251642274
x: 2.234016659682261, y: -4.662332820074892
x: 2.6939110925566307, y: -5.205638481997465
x: 2.5329044258097464, y: -5.821938014800265
x: 2.1357811742476414, y: -6.069904219737256
x: 2.0663803854409215, y: -6.075347237030538
x: 2.2936252752283357, y: -6.219810964492518
x: 2.41019799666546, y: -6.192892083255667
x: 2.756737767365239, y: -5.462039139277668
x: 2.858607209887874, y: -5.281542558948663
x: 2.9507179833497887, y: -4.548122253126887
x: 3.472097473783471, y: -4.2037752915123345
x: 3.744834560417994, y: -4.452761240430615
