start -> translation: (7.6, 3.5, 0.05)| rotation: (0.0, 0.0, 1.0, 0.0)
x: 0.0, y: 0.0
x: 0.23076243838376084, y: -0.2633500186534817
x: -0.034491070913634216, y: -0.8783234413508794
x: -0.06752914139516147, y: -1.0441021448824497
x: 0.25013273204801095, y: -1.069466130971189
x: 0.3108865717572268, y: -0.42729739251353877
x: 0.346899328225492, y: -0.024362065410580645
x: 0.0014830851632591422, y: 0.6217879428844286
x: 0.23354123353679743, y: 1.2572963361886922
x: 0.7886980246196315, y: 1.1439481534151035
x: 1.4725807536650017, y: 0.8170294198466203
x: 1.5872277479297665, y: 0.034244646875386364
x: 1.4471474393919865, y: -0.6130902870671202
x: 1.4484355568798963, y: -1.1410145137259824
x: 1.519462691932731, y: -2.015070884571662
x: 1.467133913784101, y: -2.814062538162558
x: 1.6862118854796342, y: -2.997342960526178
x: 2.0106465989112117, y: -3.088017433918295
x: 2.4688103724879102, y: -3.003950481835371
x: 2.5181056861223103, y: -2.8109812099944316
x: 2.4005103624184527, y: -1.9932671237028214
x: 2.3193595860605405, y: -1.1009536596007534
x: 2.229819771812886, y: -0.10222877973876385
x: 2.174900080780297, y: 0.046860450150575446
x: 1.2820802319751212, y: 0.05778414920090226
x: 1.0879102652984889, y: 0.13283096523091842
x: 1.0523957024429653, y: -0.44970248376263516
x: 1.0471730672992692, y: -0.6986465389147255
x: 1.0419270573239647, y: -0.9485228880580373
x: 1.166621093486772, y: -1.5667103381427696
x: 1.3917258073266525, y: -2.4904965623897755
x: 1.4982619043324878, y: -2.993630216944532
x: 1.9441702725851415, y: -3.069334536141705
x: 2.377553016105657, y: -3.084547775251084
x: 2.538472137391978, y: -3.0901786998385252
x: 2.491409254611462, y: -2.491093719753717
x: 2.4096440277977087, y: -1.5196718392562854
x: 2.3285716679029225, y: -0.5563025835883829
x: 2.279067681419716, y: 0.03204530877169014
x: 1.818835060757984, y: 0.01583304742623328
x: 1.171220176856365, y: 0.1140870907387218
x: 1.068855733134449, y: 0.9115041855641948
x: 0.9699161688823821, y: 1.8492411071360284
x: 0.8651685330192773, y: 2.842422233078883
x: 0.7881715173228909, y: 3.0737147180732762
x: 0.6176533731263609, y: 2.872223312713083
x: 0.6875627124509665, y: 2.1685974610738366
x: 0.7503176502092062, y: 1.306448796931995
x: 0.40058301905711363, y: 0.9522545821241464
x: -0.3024123406566498, y: 0.8739815824092657
x: -1.1658304067246352, y: 1.1161475852168987
x: -1.4142761931233017, y: 1.0461097706111564
x: -2.127324246556822, y: 0.5583340223434433
x: -2.8217648633471817, y: 0.6392193911847088
x: -3.2483829418896333, y: 1.2028289090129727
x: -3.094403565464852, y: 1.9199546307735025
x: -2.9597006756278534, y: 2.1316981444026766
x: -2.9593777997424224, y: 2.6242053505242935
x: -3.202109954742824, y: 2.6137425740318414
x: -3.4194660982836544, y: 2.2440210256406936
x: -3.5123568698858936, y: 1.9736877685412222
x: -3.3019503187323824, y: 1.1976943398268278
x: -3.328724495015343, y: 0.42864727672451064
x: -3.4596687238010126, y: -0.49698301807094575
x: -3.7265749605355825, y: -1.2224514576397114
x: -4.352768309444267, y: -1.3876508604398212
x: -4.9291839255712535, y: -0.9959418463894439
x: -4.881283036746706, y: -0.5696343353896509
x: -4.828837606087259, y: -0.46814297206438654
x: -5.052425655894118, y: 0.3932158303954924
x: -5.0953894074902, y: 1.126155236853576
x: -5.0413919171847255, y: 1.658527340925203
x: -5.013566620467782, y: 1.9109710530883095
x: -5.246583968937412, y: 2.513113467765574
x: -5.522804064082417, y: 2.624353112007158
x: -6.509436752574429, y: 2.632889701300018
x: -7.403006027647842, y: 2.669001401568885
x: -7.575515752713301, y: 3.2964134348486995
x: -7.124227780594342, y: 3.8556974751834265
x: -6.43486276859487, y: 3.891149981189449
x: -6.055220895133283, y: 3.625844134722238
x: -5.326045431724689, y: 3.621647244458323
x: -5.1772395067220485, y: 3.747212531083985
x: -5.104889059421025, y: 4.039514388107204
x: -5.74891655540495, y: 4.31224026159434
x: -6.108519180840344, y: 4.687071515872907
x: -6.469356755495722, y: 4.76305643949319
x: -6.931065603991928, y: 4.321510915643961
x: -7.600778282830663, y: 4.20139984829178
x: -7.835471818348075, y: 4.478990431343691
x: -7.580349377618702, y: 4.376566928876844
x: -7.762945365480523, y: 3.8775073628843884
x: -8.138031221370893, y: 3.7412893819655064
x: -8.454374539036477, y: 3.2558907934152654
x: -8.582221192632959, y: 3.050351274932299
x: -8.74698034093256, y: 2.6332815473071034
x: -8.439470216598504, y: 2.3561273782975314
x: -8.160418411597762, y: 2.0857959589001
x: -7.382678705279261, y: 2.0582191389888034
x: -6.807973465370194, y: 1.6004303905257131
x: -6.544445954525428, y: 0.9159438775362754
x: -6.65907135929565, y: 0.2814014091708027
x: -7.037151024523804, y: -0.3912189677678006
x: -7.535706069944198, y: -0.9700662853138481
x: -8.217266872153198, y: -0.7634223036296641
x: -8.545092910789416, y: -0.10864657861417094
x: -8.277945434600127, y: 0.5397924327991763
x: -8.002390815610674, y: 0.516532088521995
x: -8.39267624013977, y: 0.3200200912442399
x: -8.990222401086541, y: 0.7094425865901419
x: -9.106357290896701, y: 1.013506843245758
x: -9.293848529036069, y: 0.9269736683273662
x: -9.684095418957748, y: 0.04462231141681287
x: -10.082920269849946, y: -0.8536563785703712
x: -10.19689012678153, y: -1.1104089139115942
x: -9.711584325539631, y: -1.3886794808468048
x: -9.436877179910825, y: -1.5383384679229766
x: -9.225224892148093, y: -1.6536380656130443
x: -8.859454967183964, y: -1.7021313192638257
x: -8.689421093830665, y: -1.46837107953563
x: -8.28155200656953, y: -0.8126707785804613
x: -7.816457651712447, y: -0.9097672109800601
x: -7.274941330177181, y: -1.4216476845159314
x: -7.266689827265357, y: -2.1228410092824554
x: -7.783071620781706, y: -2.6058710421098397
