start -> translation: (0.96, 0.492, 0.05)| rotation: (0.0, 0.0, 1.0, 0.0)
x: 0.0, y: 0.0
x: 0.8880234, y: 0.0
x: 1.13899104, y: 0.0
x: 1.95095736, y: 0.0
x: 2.94964692, y: 0.0
x: 3.512612967761951, y: -0.02875271647847424
x: 3.573793824227689, y: -0.044694514272266665
x: 3.4684771305476874, y: -0.020976940351367216
x: 2.6720973179932574, y: 0.2425047832776989
x: 2.3440991251222507, y: 0.880864277753633
x: 2.6174554897494864, y: 1.5529613006156637
x: 3.257801974323964, y: 2.0306818664782518
x: 3.7565730455158004, y: 2.1921581140504705
x: 3.752688650545989, y: 2.5479445274829624
x: 3.8962765919710276, y: 3.250379809865211
x: 4.457005162994359, y: 3.645363525217117
x: 5.153342738375583, y: 3.5271105663695943
x: 5.398426631220887, y: 3.3102825533808056
x: 6.225203009728322, y: 3.2751667020195376
x: 6.7561337883943695, y: 2.8989058328281243
x: 6.910563617134631, y: 2.2331914239075066
x: 6.6223653814910675, y: 1.953144665714267
x: 6.5637426215099985, y: 1.9828098071661882
x: 6.712440561515166, y: 1.9371460920356935
x: 6.907750433395321, y: 1.922414382176998
x: 6.965136888315014, y: 2.6317757258157206
x: 6.979335170579637, y: 3.0052926021225628
x: 6.646524009220122, y: 3.6916338598707084
x: 6.923195857413547, y: 4.256263127984608
x: 7.492038834806539, y: 4.1114436727536
x: 8.127088103284311, y: 3.7731825554452847
x: 8.322902182682029, y: 3.03041743464449
x: 8.15154212873449, y: 2.4026181406861697
x: 8.082314390685694, y: 2.07471698483359
x: 8.071850529221283, y: 1.143853776246977
x: 8.06120395944119, y: 0.19610149474064337
x: 8.11504079012164, y: 0.0351134038775637
x: 8.601009270539066, y: -0.08052887379397417
x: 8.830960046707176, y: -0.13781451381990306
x: 9.110597943497119, y: -0.10532497900375859
x: 9.201153036231924, y: 0.24669442036462477
x: 9.298891942843959, y: 1.0910511155754299
x: 9.327049296913875, y: 1.33438507239439
x: 9.353945077548579, y: 1.5668080019951844
x: 9.381183228858093, y: 1.8022163457721079
x: 9.244662937932652, y: 2.2869158536776566
x: 9.145803330182826, y: 2.9443927634160607
x: 9.107199130305357, y: 3.046548310126535
x: 8.465163089560338, y: 3.379782255723418
x: 8.425669253520997, y: 4.068188692511159
x: 8.582119495506518, y: 4.763986364956806
x: 8.743317987935916, y: 5.1655553553508256
x: 8.749383946200652, y: 5.599908784209588
x: 8.712469065917348, y: 6.283025397936526
x: 8.704007922000825, y: 6.3229698151253055
x: 8.607377639760346, y: 6.392323965120591
x: 8.572928030669052, y: 6.410035703840957
x: 8.723524410933148, y: 5.776264140453702
