start -> translation: (7.6, 3.5, 0.05)| rotation: (0.0, 0.0, 1.0, 0.0)
x: 0.0, y: 0.0
x: 0.23491187546057066, y: -0.2812053393786458
x: -0.0111557261600352, y: -0.9299019575577063
x: -0.12220256336140793, y: -1.0609643865094267
x: 0.21984771883088156, y: -1.1160065786719306
x: 0.27120896675217004, y: -0.9112220619675693
x: 0.29183634447720763, y: -0.0563987059603688
x: 0.0727763039285635, y: 0.4695010459720353
x: 0.2125319143303404, y: 1.1499181091160733
x: 0.6945696819267276, y: 1.2076371424840553
x: 1.4082297056933755, y: 0.9086033279430168
x: 1.6651015976583061, y: 0.19948056944930187
x: 1.5450700091283192, y: -0.5405224914618996
x: 1.4556743215528785, y: -0.9084656114627061
x: 1.4968335933406316, y: -1.7264037464178705
x: 1.4248297374706054, y: -2.558120182188541
x: 1.387771302857707, y: -2.9170027179490425
x: 1.7151992275299153, y: -3.100771170979576
x: 2.190436285270067, y: -3.162666847817529
x: 2.5004465649647822, y: -3.154323698892228
x: 2.618342318483588, y: -2.2859896407310645
x: 2.7421501529916936, y: -1.3270710036147533
x: 2.8669557168312148, y: -0.36034070122770806
x: 2.795580327530882, y: -0.15582831906955677
x: 1.9958297981440165, y: 0.11037366818578806
x: 1.8724687362695251, y: 0.7261191160177322
x: 1.9881798138873275, y: 1.4554568499938805
x: 2.1555648763603994, y: 1.8336381788992289
x: 2.174630540392805, y: 2.4582685669160806
x: 2.1892012152316855, y: 3.115612407626818
x: 2.170079882198105, y: 3.1263901542283024
x: 2.0282629308326805, y: 2.9842662884115585
x: 1.915917428425005, y: 2.1215744181586556
x: 1.7434294857853423, y: 1.3325927002290223
x: 1.2334436824244546, y: 1.1523817892321764
x: 0.545973707998077, y: 1.2649245927314274
x: -0.16322287984623096, y: 1.6326306821811605
x: -0.5007313605689087, y: 1.5850536357593759
x: -1.241360838143682, y: 1.3567182447627903
x: -1.8947042893469124, y: 1.6602917319431387
x: -2.0980022771763083, y: 2.3431085197816937
x: -1.7439960648607764, y: 2.9404868398572996
x: -1.6262133731403048, y: 3.1036344050835467
x: -1.6309678946524737, y: 3.54601505363012
x: -1.9061553886347284, y: 3.3945552237320222
x: -2.1466220786841834, y: 3.162956666426469
x: -2.2469807261209542, y: 2.30322085374012
x: -2.352942825016016, y: 1.350298319964436
x: -2.5133063622845064, y: 0.5904616566224866
x: -2.9697002105935226, y: -0.006059344511386584
x: -3.604632426492698, y: -0.16482964064314404
x: -4.159305395231431, y: 0.2263645545239213
x: -4.16517106312069, y: 0.7494274613300824
x: -3.964341365471895, y: 0.7292181001160208
x: -4.260280500148183, y: 0.31303031111171287
x: -4.287744185395743, y: 0.14100705971198374
x: -4.145812777308149, y: -0.7249304312713164
x: -4.255095080416924, y: -1.4309742903765308
x: -4.6321487818720355, y: -2.024323082512992
x: -5.275366122440797, y: -2.113765150437494
x: -5.542646442644217, y: -1.9804911720160232
x: -6.227634001709351, y: -1.8638034479801042
x: -6.376778150289848, y: -1.7749993344677513
x: -6.821781881574572, y: -1.839091128838216
x: -6.929825700778876, y: -2.20034481145618
x: -6.5407947769137635, y: -2.2726812272276633
x: -5.601063182648024, y: -2.417448642291361
x: -4.944269973571309, y: -2.216180347553037
x: -4.2407336859559015, y: -2.194481290812613
x: -3.794423879826614, y: -2.4681476824008772
x: -3.2106340320812747, y: -2.600838880501577
x: -2.990303952956013, y: -2.6490260212957053
x: -3.1309661578195174, y: -2.6190497885632738
x: -3.8043800427420096, y: -2.3146645917005038
x: -4.057965608304258, y: -1.686174250874198
x: -3.77731205236029, y: -1.0499687218501648
x: -3.0865379594609275, y: -0.5689365997319739
x: -2.5524012315728215, y: -0.3950903369198852
x: -2.444127453240892, y: 0.017974659716910552
x: -2.138506619777971, y: 0.7323285925713224
x: -1.467031866564701, y: 0.9826119159552229
x: -0.8190126852730453, y: 0.647498663533077
x: -0.6767025438899021, y: 0.49947988517363445
x: 0.04856272249889209, y: 0.46875955459764396
x: 0.5959810209675023, y: 0.021339836007834404
x: 0.5145980109354761, y: -0.6658845628490699
x: 0.28064951232230867, y: -0.8398718938128941
x: 0.24498569859057368, y: -0.8769505230166955
x: 0.5495317733638334, y: -0.9754030426239206
x: 0.6582998140267678, y: -0.6669174780379653
x: 0.7911850180595804, y: 0.022733038871633145
x: 0.5094292279904499, y: 0.5084864889025372
x: 0.6386349086555402, y: 1.1728588518477066
x: 1.1611602366990994, y: 1.2284908511725756
x: 1.9181456653019486, y: 0.8720219921293573
x: 2.150022255336874, y: 0.1735016196765197
x: 1.9620725955578415, y: -0.5293219517243727
x: 1.8049624759907157, y: -0.9117662251219759
x: 1.7100324289994926, y: -1.8859463752989456
x: 1.6183719321455166, y: -2.8265050085556744
x: 1.6751455488101676, y: -2.993260430315059
x: 2.4457209253017616, y: -3.196832198633817
x: 2.6468956170205677, y: -3.253479121478511
x: 2.7681673403938905, y: -2.756612918476106
x: 2.890836071645464, y: -2.1963481087400516
x: 2.9451610506398476, y: -1.9482536282318756
x: 2.999906550286884, y: -1.6982358025821045
x: 2.906255321411967, y: -1.1582622545197367
x: 2.8256466172120667, y: -0.4146441522170746
x: 2.887483177710272, y: -0.15050258345179313
x: 2.3390113608396166, y: -0.021842411652947737
x: 2.0208851515555186, y: 0.31913517511164763
x: 2.1460659196428233, y: 1.1992328427595886
x: 2.2941468754589294, y: 2.182901193535254
x: 2.422753507926128, y: 3.037259321091843
x: 2.373816391643085, y: 3.142083765103457
