start -> translation: (7.6, 3.5, 0.05)| rotation: (0.0, 0.0, 1.0, 0.0)
x: 0.0, y: 0.0
x: 0.24138919195310657, y: -0.27157874731775006
x: -0.007172121278866069, y: -0.9359872435185174
x: -0.10617343601749879, y: -1.039351821497945
x: 0.25332259582636835, y: -1.1403475165478951
x: 0.30579735687565857, y: -0.7320593023478349
x: 0.374021699233838, y: -0.03814617973988033
x: 0.03172206288632849, y: 0.4274021833434779
x: 0.09921089072199447, y: 1.0995963466319183
x: 0.6109171672396, y: 1.1967048005717027
x: 1.4061019780573816, y: 0.8993506721749633
x: 1.5722926891293365, y: 0.30190530095485096
x: 1.4928819440885777, y: -0.42566223602159703
x: 1.3886205342334943, y: -0.7104184006154036
x: 1.451896236246208, y: -1.6462276708171675
x: 1.4910922958132287, y: -2.4881548187641975
x: 1.460291879908332, y: -2.9126089305486254
x: 1.8243325084513906, y: -3.049657792017695
x: 2.129490308795708, y: -3.0812346669142987
x: 2.5239003770452095, y: -3.0126905422771557
x: 2.521210366090798, y: -2.2211735364095637
x: 2.569702757078882, y: -1.3314438223247715
x: 2.6310934891212443, y: -0.346685945842433
x: 2.652537460345878, y: -0.0036233129066843253
x: 2.6274295096017073, y: 0.016402087724882174
x: 2.9659309492142656, y: -0.6985138791993238
x: 2.7887372852418424, y: -1.1433564273789738
x: 2.0534565817209676, y: -1.5105723916007079
x: 1.2378893345870594, y: -1.8248302034395785
x: 0.3273025605563408, y: -2.172935982715065
x: 0.28260758578195844, y: -2.2867282460535847
x: 0.56888550019637, y: -2.334280430184485
x: 0.9144719823635782, y: -2.25881872991926
x: 1.3630402846278054, y: -2.081697778060853
x: 2.049648735054192, y: -1.7276148938114162
x: 2.28481536188022, y: -1.7707381851057338
x: 2.8383296888782312, y: -1.1178400118120124
x: 3.471950670162288, y: -0.7349301099010918
x: 4.0249853290776745, y: -0.6908095564599909
x: 4.762805801474341, y: -0.42934376650521777
x: 5.097430289281863, y: -0.30532480209670215
x: 5.323427787085869, y: -0.22156426546419133
x: 5.5548669978274035, y: -0.13578895474148414
x: 5.786499397072161, y: -0.049938558973985775
x: 5.914734213198232, y: 0.24358307567619364
