start -> translation: (7.6, 3.5, 0.05)| rotation: (0.0, 0.0, 1.0, 0.0)
x: 0.0, y: 0.0
x: 0.21223730631580895, y: -0.2068214499042992
x: -0.06293617868628575, y: -0.7692027319492899
x: -0.14531327499890354, y: -1.0419658886631604
x: 0.18394596321924842, y: -1.1206954730005374
x: 0.2664218149812351, y: -1.0549313635783737
x: 0.3146765297680965, y: -0.08645687307408335
x: 0.08140904416607314, y: 0.2647878953630643
x: 0.02605391817020574, y: 0.9467316805653908
x: 0.4600768687502454, y: 1.2412329696771203
x: 1.3137036500314803, y: 0.9994783552281684
x: 1.6240047007139937, y: 0.4294244850593416
x: 1.6136904611118335, y: -0.29651125321471544
x: 1.4494440628068406, y: -0.650084050461279
x: 1.5180888992288746, y: -1.4541259724188158
x: 1.4642641738818691, y: -2.2607667683764654
x: 1.3927211891770799, y: -2.8849267457863346
x: 1.9612727769039493, y: -3.031225978171376
x: 2.1991458621267457, y: -3.089712380983818
x: 2.5477615467468406, y: -3.0433079400145617
x: 2.630643663625937, y: -2.491459714306011
x: 2.7353837453313474, y: -1.9632307344928952
x: 2.784588969890384, y: -1.7150209603962694
x: 2.826870945276238, y: -1.496222105673231
x: 2.749779951840489, y: -0.4604000994138223
x: 2.717784651875604, y: 0.014105235167582414
x: 2.1133662740447905, y: 0.06622717095676228
x: 1.7741735827868357, y: 0.5098385976780434
x: 1.7416544246626398, y: 1.2389894855821704
x: 1.922511548226414, y: 1.785541407316743
x: 1.9709676514544054, y: 2.3284539657803456
x: 1.9725962399414376, y: 3.2233148038190556
x: 1.9307873658155703, y: 3.2971334505128476
x: 1.793691506023313, y: 3.1189457267294696
x: 1.7590196117805366, y: 2.211664858710014
x: 1.5815896664851143, y: 1.483047605373518
x: 1.3887558713351285, y: 1.3043838182627328
x: 1.5302466578877498, y: 0.5160002407168471
x: 1.5085249279040778, y: -0.2030173134766874
x: 1.2559151092391443, y: -0.7247365481021659
x: 1.1111430541644771, y: -1.3891600738939565
x: 0.9364356131809779, y: -2.3563431921411944
x: 0.9035926338894749, y: -2.7495420285963594
x: 1.202378773275379, y: -2.937685095336679
x: 1.9564390606328272, y: -3.0886266149669184
x: 2.075260651552327, y: -2.6275236079686706
x: 2.313198219683037, y: -1.6780898682827137
x: 2.475670929676127, y: -1.0297897809884924
x: 2.5388535058283086, y: -0.7777083768101004
x: 2.5989127331913733, y: -0.5380904557249172
x: 2.6580137158302373, y: -0.302291715659365
x: 2.7105053094507627, y: -0.09282631637264274
x: 2.2680918712102374, y: -0.040473693456469416
x: 1.6052361634302525, y: 0.18030793043647528
x: 1.663639089251463, y: 0.7526160438396307
x: 1.895847575066016, y: 1.7281957923616658
x: 2.133552449697868, y: 2.7269656855081847
x: 2.2235748489441396, y: 3.105181996417212
x: 2.2545061919498246, y: 3.2428169396686664
x: 2.0306770604591646, y: 3.321318182019042
x: 1.5175741279911386, y: 2.691836727007823
x: 1.0751061839762237, y: 2.070162299761943
x: 0.5805210038219888, y: 1.823061722565703
x: -0.13634883962872715, y: 2.1493204555053054
x: -0.7569045695373379, y: 2.6902210907216006
x: -0.8286174973564605, y: 2.800734130904024
x: -1.7390115762385208, y: 2.952337667677535
x: -2.228299912781845, y: 3.4000109149240068
x: -2.27281249096358, y: 4.109626537851915
x: -1.7476426684890634, y: 4.633618796181
x: -1.5192917972684385, y: 4.696717909980956
x: -1.3021514652343678, y: 5.0391670424293515
x: -1.5137471630394925, y: 5.206497577222852
x: -1.981011960970103, y: 4.893884289888167
x: -2.1955600078150486, y: 4.65817660036103
x: -2.6408177623982763, y: 3.777454482313495
x: -3.080447512064759, y: 2.947433931564647
x: -3.6236878122241003, y: 2.469867192745073
x: -4.27867391463888, y: 2.300176480258539
x: -4.840393811360213, y: 2.694306255125327
x: -4.936439156053616, y: 3.275247605948943
x: -4.631234074940128, y: 3.525641582722901
x: -4.30073268773683, y: 4.177537560403981
x: -3.8631479291599606, y: 5.048666461827797
x: -3.4184060316604006, y: 5.93405777900616
x: -3.208386981698335, y: 6.366274712391248
x: -3.854603613266118, y: 6.829508388008703
x: -4.108386743825163, y: 7.00559895248988
x: -4.318673376330796, y: 7.15149452492256
x: -4.912238134106506, y: 7.436792144468624
x: -4.990707152997695, y: 8.060437519453755
x: -4.381707949610584, y: 8.385918104453198
x: -3.6721293953217082, y: 8.170601814382508
x: -3.3715879155016073, y: 7.66180251481788
x: -2.9709471966048002, y: 7.370373246333683
x: -2.71425435202408, y: 7.090686121315792
x: -2.708803512317273, y: 7.042440851615863
x: -2.4214421629268625, y: 7.5392205043055105
x: -2.830543194541149, y: 8.074922606434647
x: -3.035802537521288, y: 8.47745776730616
x: -3.3092076985932213, y: 8.711321279588814
x: -3.543338513835143, y: 8.727895458832894
x: -4.065558295918032, y: 8.494926013165779
x: -4.648382220474084, y: 8.486404209007038
x: -4.835563471551504, y: 8.77928657792247
x: -4.564868919698514, y: 8.646299129960768
x: -4.7983159238149895, y: 8.0079729833944
x: -5.147261145888012, y: 7.809914068849861
x: -5.494726539264486, y: 7.0361684213262015
x: -5.574621616280198, y: 6.854007413816342
x: -5.082466822553074, y: 6.357885303683519
x: -4.866421081943556, y: 6.341721891596736
x: -4.087663421609268, y: 6.3649094875123025
x: -3.5484112916284314, y: 5.883646287399678
x: -3.237026326877372, y: 5.196497324169297
x: -3.338627955478309, y: 4.484345917771651
x: -3.7083378126021733, y: 3.715526785518648
x: -4.249433427723423, y: 3.3421484300212634
x: -4.8362873484521325, y: 3.599100403066508
x: -5.090176029757926, y: 4.2879036957342365
x: -4.796886890488936, y: 4.843229995329377
x: -4.644742472780971, y: 4.6353331345540685
x: -5.211730172987249, y: 4.61578496724652
x: -5.647027792333844, y: 5.031398394561826
x: -5.9295138245916945, y: 5.184583097284927
x: -6.025353501441775, y: 4.808768240433279
x: -6.213856756379104, y: 3.8319345315988453
x: -6.389608401242687, y: 2.929896242980144
x: -6.354783958906064, y: 2.7730457767066405
x: -5.420954447935499, y: 2.522814994319637
x: -5.0628370365468385, y: 2.4268610398964086
x: -4.8477495593908015, y: 3.0189103358045966
x: -4.533092073084498, y: 3.4329263760490116
x: -3.9405822476391834, y: 3.3245293421104862
x: -3.48372532637191, y: 2.776163666593554
x: -3.574763832709176, y: 2.0692837740257315
x: -3.9372855619070948, y: 1.7305869459274086
x: -4.239490512070645, y: 1.2849592633511104
x: -4.80461225452294, y: 0.8873581404255545
x: -5.5166236113360085, y: 1.0451890593418782
x: -6.095513227755965, y: 1.392782374464835
x: -6.5014994700485085, y: 1.324639097893187
x: -6.630677441187628, y: 1.1531377901391238
x: -6.665408216009737, y: 0.980420182275844
x: -6.1632200339211165, y: 0.8461684619520009
x: -5.916451726017774, y: 0.7856695145679461
x: -5.45170102392095, y: 0.8556176139003466
x: -4.5682810624985635, y: 1.066644851811197
x: -3.870100525773407, y: 0.8970140931236392
x: -3.518687857064825, y: 0.7375139967847164
x: -2.8092965857430334, y: 0.6780809520134315
x: -2.736496207371069, y: 0.6612611669137821
x: -2.7364959234919946, y: 0.6612601184110645
x: -3.415245812977548, y: 0.852490045123284
x: -3.8399493156827966, y: 1.4340844777982258
x: -3.7184851449327114, y: 2.1407742489576784
x: -3.1554908668084, y: 2.6432193691344747
x: -2.550481130679985, y: 2.907969209151477
x: -2.4411648958378054, y: 2.8935696453354756
x: -2.3557383671396184, y: 3.61075229316767
x: -1.9605456603497842, y: 4.187708334472178
x: -1.2673339951032025, y: 4.316062286463957
x: -0.741521284872709, y: 3.9775970235689293
x: -0.22051126618809147, y: 3.890358832988129
x: 0.4993680010945744, y: 3.6398188969710263
x: 0.7066499273156238, y: 2.9947463911902124
x: 0.4778728444883708, y: 2.573475219639497
x: 0.40991317915635345, y: 2.9764206822175243
x: 0.7172906084782577, y: 3.4607213028444197
x: 0.691188686895673, y: 3.7725910364242217
x: 0.6301997959053655, y: 4.517541516636299
x: 0.9616106201618148, y: 4.783539795927409
x: 1.1396435852566371, y: 4.645829384172209
x: 1.884523851485049, y: 4.419270794116698
x: 2.0474504477166926, y: 3.800510336580674
x: 1.9338564052371412, y: 3.050310394567592
x: 1.770074250117494, y: 2.7339598974998687
