start -> translation: (5.2, 6.0, 0.05)| rotation: (0.0, 0.0, 1.0, 0.0)
x: 0.0, y: 0.0
x: 0.1060806397626265, y: 0.014959056142668353
x: 0.16676281628037445, y: 0.6958911326579839
x: -0.07989674530577613, y: 0.7492540865928612
x: -0.19984923580232167, y: 0.49258049668156967
x: -0.43804220001466093, y: -0.12705837476545565
x: -0.5228168657679364, y: -0.7020346165474785
x: -0.5510919710868979, y: -0.9433727792661583
x: -0.5795957076274202, y: -1.18666640102872
x: -0.6623619054002906, y: -1.893081937595616
x: -0.8024633056112784, y: -2.7451314135684877
x: -1.276432535137605, y: -3.1243739561585713
x: -1.9113584884832633, y: -3.016659740261972
x: -2.248268632074834, y: -2.5462832589924305
x: -2.096709534455879, y: -2.199888645800584
x: -2.0983847430626867, y: -1.6102623100122242
x: -2.1198225159933624, y: -0.6356411952787352
x: -2.140546659671922, y: 0.34002913680716795
x: -2.124205660305732, y: 0.9532312847016339
x: -2.388800766525493, y: 1.0209044876775684
x: -3.1401022232953206, y: 1.1148415371983578
x: -3.3831666027537377, y: 1.145238235635283
x: -3.7368161779477718, y: 1.1499192833024001
x: -4.42560485679236, y: 1.3447640564753751
x: -4.371212795444053, y: 1.9826914311547332
x: -3.790866204331563, y: 2.4054937293496104
x: -3.0935520316324716, y: 2.243600010403545
x: -2.889040561829435, y: 2.0316785121420593
x: -2.147715513813363, y: 1.9247954115168084
x: -2.056855897077745, y: 1.4936172542243311
x: -2.3043147338242127, y: 0.8762870755355843
x: -2.9769212236684615, y: 0.6098634998242196
x: -3.584789358531595, y: 0.8948447285755372
x: -3.871632466436399, y: 1.0253792732439813
x: -4.471715427138477, y: 1.3502212228373212
x: -4.379999429298575, y: 1.9669480776227375
x: -3.791171372120038, y: 2.355196581725404
x: -3.0853533307827297, y: 2.2182022705956035
x: -2.8735144256521408, y: 2.0661310928616192
x: -2.141444801003344, y: 2.1009973688062606
x: -2.052529425308934, y: 1.9548108941208753
x: -2.0253653907779956, y: 2.1423161008028786
x: -2.032539081777004, y: 2.522623455032963
x: -2.8650908988891914, y: 2.787366231611329
x: -3.1777795976852947, y: 2.9889775078793455
x: -3.490373320450236, y: 3.050772020096044
x: -3.8854005983635576, y: 2.4279903642256393
x: -4.547346428443309, y: 2.164922879756744
x: -4.717988123043961, y: 2.377360466903912
x: -4.383737993825732, y: 2.248556777236265
x: -4.518639446864681, y: 1.6588243792425366
x: -4.694544950313102, y: 1.4959949281090472
x: -4.640992946265534, y: 0.8045846553024912
x: -4.655671066501656, y: 0.2973042780396571
x: -4.210351688579903, y: -0.01961115764616592
x: -3.9525514824363004, y: 0.010105450088428556
x: -3.214046837020379, y: 0.35718425873787696
x: -2.54565622520992, y: 0.15017659642607104
x: -2.03754769979049, y: -0.33406581190627843
x: -1.9000633886050367, y: -0.8834132282976985
x: -1.9832787496347777, y: -1.6407830784517172
x: -2.123422866765406, y: -2.4239443404028456
x: -2.5517861974532483, y: -2.6355819147433768
x: -3.2147779984910994, y: -2.3635299043928604
x: -3.484381549895014, y: -1.6950738140004806
x: -3.242688837403463, y: -1.2482469691106894
x: -3.1779846139807693, y: -1.5000951319596636
x: -3.841069043085289, y: -1.6121507725152637
x: -4.269795897627968, y: -1.3701955466568105
x: -4.520217419091575, y: -1.3172870610776979
x: -4.534589598122656, y: -1.5789707717537564
x: -4.5196490808773895, y: -2.553609568074016
x: -4.5131629160251086, y: -2.977365718024734
x: -4.509624459601582, y: -3.208203950949861
x: -4.505899978969676, y: -3.451267928705445
x: -4.502539046278883, y: -3.670190780704242
x: -4.08719640191236, y: -3.692924584349494
x: -3.37040942297261, y: -3.6557636950315904
x: -2.8949940486388845, y: -3.659062500786654
x: -2.928954355842185, y: -3.025483302681352
x: -2.7208224675287025, y: -2.5739922666471884
x: -2.1331253697051293, y: -2.4791864068133336
x: -1.596052052777558, y: -2.738858896407195
x: -1.33425287399521, y: -3.3985650082303605
x: -1.5643219859029887, y: -3.9608703546486117
x: -1.6659013259006599, y: -4.223050370679379
x: -1.8541503302878137, y: -4.895604880949716
x: -2.4659294673649885, y: -5.176875856856388
x: -3.248984988360336, y: -5.009427831545217
x: -3.557310270284125, y: -4.908414502298694
x: -3.9371218221657136, y: -5.285539756942917
x: -4.036996065882547, y: -5.425315275443463
x: -4.009789973855045, y: -5.539218711590596
x: -3.0450049407413577, y: -5.542083766129082
x: -2.723162225968652, y: -5.542873261468847
x: -2.324201180860575, y: -5.239726722742991
x: -1.6689792998949804, y: -4.96866665471269
x: -1.0508828199960427, y: -5.182576703713369
x: -0.6643344282122515, y: -5.272198972109899
x: -0.4333887604877671, y: -5.294345941609652
x: -0.21872696342615322, y: -5.299063047405386
x: -0.2427687209575885, y: -5.259294822000363
x: -1.026679407400946, y: -4.905935466040815
x: -1.3981009525168913, y: -4.335590633969165
x: -1.246576478738107, y: -3.6597323396533445
x: -0.7131279800041995, y: -3.1712289592617506
x: -0.1906176978979794, y: -2.98636834833939
x: -0.13975222932900816, y: -2.8919602382763236
x: -0.06572586922872237, y: -1.9964307466375082
x: 0.3783051524112667, y: -1.429685099453558
x: 1.092625789801803, y: -1.4030535988745578
x: 1.444030080443757, y: -1.6483261996639615
x: 2.2183676513662576, y: -1.6310025905481185
x: 2.844120766820153, y: -2.0049079414153517
x: 2.886159942711839, y: -2.6658879357163534
x: 2.682940099702528, y: -2.780037332438195
x: 2.651109337064782, y: -2.1469093103503907
x: 2.8149900990332477, y: -1.800004442271636
x: 2.4778901826475765, y: -1.3853574166662987
x: 2.4416475059106313, y: -0.7023353162719461
x: 2.9431606806903274, y: -0.5369110544113044
x: 3.7900363320337944, y: -0.7210676383873499
x: 4.10001127289517, y: -1.2806308024141384
x: 4.1458148701298745, y: -2.011543369176806
x: 4.1185548721466, y: -2.317279550274576
x: 4.436172457378658, y: -3.162518004619823
x: 4.787504647452299, y: -4.097479694704117
x: 4.902288356751442, y: -4.330230578754557
x: 5.567853022602906, y: -4.210693183896725
x: 5.792794785007489, y: -4.167771273485232
x: 6.005928716873747, y: -4.1270973968415765
x: 5.895064190915218, y: -3.7657046568753203
x: 5.590519460010953, y: -2.8693559589163935
x: 5.285881321987464, y: -1.9728201336207025
x: 5.006549699091019, y: -1.150858663483513
x: 4.694335320539451, y: -1.278559600116797
x: 4.026011126660994, y: -1.470386232223248
x: 3.756101852144543, y: -1.064803566531571
x: 3.4212927141524134, y: -0.2390724832457645
x: 3.051141071219234, y: 0.6755338322242926
x: 2.768939943377894, y: 1.3727682631759635
x: 2.644918699869113, y: 1.21901559546468
x: 2.6665237725698994, y: 1.000111834055444
x: 3.074412969760568, y: 0.1855841683895205
x: 3.2547582159202064, y: -0.5227346826105698
x: 3.2114702335888325, y: -0.6480031296652028
x: 3.8246314010167572, y: -1.1538849749923075
x: 4.186986731698071, y: -1.7500290540357943
x: 4.203065576498033, y: -2.318163737882424
x: 4.424820929606857, y: -2.829750357621099
x: 4.834148957807849, y: -3.6747268046427606
x: 5.11762742759795, y: -4.25989391502088
x: 5.423376962875896, y: -4.264969059533799
x: 5.990403483476032, y: -4.0345361870190946
x: 6.147345380380657, y: -3.8637667220616048
x: 5.979868776282694, y: -3.26858014502298
x: 5.914298638592909, y: -3.0355741281852264
x: 5.749964082561595, y: -2.7499190536416864
x: 5.238190488731546, y: -2.159764155594455
x: 4.998036774519755, y: -1.479017599916895
x: 4.986291136201115, y: -1.1648455072745443
x: 4.63037605932583, y: -1.2312117576839945
x: 3.944738221414278, y: -1.3318105336897368
x: 3.579007865772993, y: -0.8181584299117063
x: 3.344833917323866, y: -0.11953068181086829
x: 3.3050740774448863, y: 0.18165342649534277
x: 2.926885048912382, y: 0.7849858626902879
x: 2.6749741079507525, y: 1.2936974931498462
x: 2.640812637981881, y: 1.343977520083041
x: 2.6007418195988112, y: 1.1092762123971391
x: 2.746345879872026, y: 0.6366136992576734
x: 3.1317553641975167, y: -0.1909509331526424
x: 3.040187899020889, y: -0.6438028789077679
x: 2.293873490907642, y: -1.0128722587535137
x: 1.4410889191565077, y: -1.203923557977668
x: 1.2635519002131814, y: -1.2449026371751932
x: 0.647101185469864, y: -1.908050880240787
x: -0.038005189075248746, y: -2.041126716930012
x: -0.6053067008714899, y: -1.610586186944895
x: -0.6661549207199887, y: -0.9323223494917051
x: -0.574346612863468, y: -0.7241629570587035
x: -0.5753387138639827, y: -0.16258786178644097
x: -0.8551884957589159, y: -0.1065463703372397
x: -0.992478960568488, y: -0.4158073769167013
x: -1.1972749452863296, y: -0.852774343498566
x: -1.181550176133174, y: -1.5115559261789713
x: -1.1656666835033793, y: -2.29829740765338
x: -1.2825542113375652, y: -3.0090348452414557
x: -1.6599940902516148, y: -3.669237700231266
x: -2.2356334099327086, y: -3.9892518189376327
x: -2.872087490422512, y: -3.6758717646795978
x: -2.97523331422877, y: -3.186389803233532
x: -2.8506158208491943, y: -3.0440194049149314
x: -2.845398416199783, y: -2.2621677406160168
x: -2.8435709775155185, y: -1.6868724535429906
