start -> translation: (5.2, 6.0, 0.05)| rotation: (0.0, 0.0, 1.0, 0.0)
x: 0.0, y: 0.0
x: 0.09703828407311813, y: 8.886776161092164e-05
x: 0.2021529934177891, y: 0.6750475986340576
x: -0.02201932816817719, y: 0.7607858147048053
x: -0.13242563712447517, y: 0.7572225619985269
x: -0.42250716044982367, y: 0.07877129956621823
x: -0.38499562046163527, y: -0.490034016434125
x: -0.3655398762208642, y: -1.2535208414815275
x: -0.5359780074977089, y: -2.0750514634401473
x: -0.7982972514470269, y: -2.8244617920755277
x: -1.2948761990001865, y: -3.2038029597093365
x: -1.938417566404787, y: -3.0314427950585063
x: -2.2244419692765867, y: -2.5648298378320735
x: -2.083484061215735, y: -2.161301567366471
x: -2.156372175173604, y: -1.3376739898928547
x: -2.0926294159590286, y: -0.5872936070343924
x: -2.007917023916638, y: -0.0635660664109291
x: -1.970262782210326, y: 0.16924768826871656
x: -1.977176068734128, y: 0.4432214167501595
x: -2.16658997518453, y: 0.9737482867760264
x: -2.831959608493408, y: 1.0123701689208502
x: -3.833877431885929, y: 1.0527360277328222
x: -4.482272830848892, y: 1.3425747909096049
x: -4.381634305810034, y: 1.9642036280069997
x: -3.7892956981503154, y: 2.3955086595288564
x: -3.100510057069124, y: 2.2435263395261753
x: -2.7580335799087377, y: 1.999944811703322
x: -2.0998595490421277, y: 1.8235366864424316
x: -2.0321831296448263, y: 1.7621126559021987
x: -1.9914841687355835, y: 2.313514509514974
x: -2.2456855440880243, y: 2.500182880392785
x: -2.98358786768028, y: 2.725182272361296
x: -3.1744465116499034, y: 2.8693595696477234
x: -3.5524397569950565, y: 2.787605294535531
x: -4.084180757526321, y: 2.1487237478792096
x: -4.67113695645063, y: 1.9975928425584903
x: -4.610100411680843, y: 2.1901878083733246
x: -4.299571694382687, y: 1.8011727381278835
x: -4.567131010462011, y: 1.2270702434353746
x: -4.6412771224273905, y: 0.8354874657754484
x: -4.647142454078, y: 0.12623288269083957
x: -4.649099656705251, y: -0.11073794725538072
x: -4.651063754028665, y: -0.23428556620113433
x: -4.221748075988265, y: -0.03276642559287632
x: -3.4083498085632633, y: 0.08112147990247974
x: -2.6322175431377013, y: -0.004213807822445227
x: -1.8950054041634763, y: -0.2716932813661839
x: -1.7237452267925006, y: -1.0790746223667964
x: -1.6040911683647325, y: -1.8546814997465424
x: -1.7104094208225862, y: -2.4868803107026616
x: -1.7548006814562103, y: -2.588332713034702
x: -1.2997437251762225, y: -3.300182737189408
x: -1.1166361172894281, y: -4.005809714549504
x: -1.2628497403085455, y: -4.676389532973839
x: -1.7316809604411187, y: -5.097565181982257
x: -2.236322260135705, y: -5.129731453614156
x: -2.6482624282252805, y: -5.140772984101765
x: -3.151256177266356, y: -5.11252507124956
x: -3.5889860964545064, y: -5.227417696496698
x: -3.564777189014853, y: -5.55037794897826
x: -3.4137133609931336, y: -5.626959325905273
x: -2.679760572374829, y: -5.606026380313268
x: -2.4428780499892584, y: -5.599268147974069
x: -2.202059426236841, y: -5.592402267898174
x: -1.7452172550043679, y: -5.15384522693928
x: -1.1053422164513629, y: -4.935891046531163
x: -0.541205624164907, y: -5.155061099908629
x: -0.07724813313641261, y: -5.155094541756912
x: 0.31049203695625893, y: -5.147255388514484
x: 0.31050434259792975, y: -5.147260670475401
x: -0.30903674185593294, y: -5.0798580151782335
x: -0.8765004373099184, y: -4.6691619490335174
x: -0.9517527959715721, y: -4.002667065184005
x: -0.5305207611692635, y: -3.4168886454062735
x: 0.08499257705522491, y: -2.955891727462446
x: 0.2432314463667751, y: -2.907775065994152
x: 0.3310949859195483, y: -2.0344395067303895
x: 0.6912521282746223, y: -1.4204145035144382
x: 1.3684684078484064, y: -1.288751776361618
x: 1.8280226400520767, y: -1.5500242870310603
x: 2.368394305242325, y: -1.573870867951138
x: 3.0818676791916113, y: -1.7963390830551618
x: 3.3873680800567265, y: -2.4202488944938945
x: 3.1578974597208216, y: -2.755711609981559
x: 3.004126547652102, y: -2.3543859202272386
x: 3.2118374520625688, y: -1.7773684569649715
x: 3.2194927277071637, y: -1.6625282553687497
x: 2.9258743720787272, y: -0.9554579748685835
x: 3.140556271907431, y: -0.49427394014716536
x: 3.936723760108076, y: -0.5844825674510223
x: 4.41608542384815, y: -0.8999515869175747
x: 4.580007151569686, y: -1.66109459401989
