start -> translation: (1.8, 6.3, 0.05)| rotation: (0.0, 0.0, 1.0, -1.57)
x: 0.0, y: 0.0
x: 0.37024307743925705, y: 0.16388924052386705
x: 0.466251692923676, y: 0.6979245169027486
x: 0.6817303504553793, y: 1.2417322690149175
x: 1.39407523447638, y: 1.3189259485805138
x: 1.997155248192979, y: 1.2015480175957405
x: 2.729307563596518, y: 1.052328635507381
x: 3.0252584904095925, y: 0.65963739617654
x: 2.8191648540447467, y: 0.0006437610331038613
x: 2.1852779187589553, y: -0.31128085977068753
x: 1.685134675589097, y: -0.09223167329642823
x: 1.6909170750148161, y: 0.07673422425517648
x: 1.5888437340735868, y: 0.06875492635301741
x: 1.6034302725986336, y: -0.821698108644262
x: 1.6128093997884703, y: -1.2970223652600446
x: 2.207588875192055, y: -1.3555781084676235
x: 3.179379032450247, y: -1.4328432384722045
x: 3.5778873475436574, y: -1.4645281191823347
x: 3.8220743709073077, y: -1.4839435084478343
x: 3.994468246149972, y: -1.4976371358934253
x: 4.096579019904347, y: -0.9733454275181032
x: 4.14203244054493, y: -0.7335909203078465
x: 4.155066222596204, y: -0.3029597064474086
x: 4.1350897362232715, y: 0.07712900513320568
x: 3.3674883396540864, y: 0.13862109313465246
x: 3.0319740923220975, y: 0.5385522643421933
x: 3.215462468911316, y: 1.290591336687084
x: 3.815816876555293, y: 1.6645489453239624
x: 4.497807614942118, y: 1.4639654416433894
x: 4.755709325722934, y: 1.25079900326616
x: 5.452792039798043, y: 0.8946418958169466
x: 5.634841378533914, y: 0.20982192804354866
x: 5.351727521303348, y: -0.5944059534346936
x: 5.3265061258433875, y: -0.8618495583813977
x: 5.455447221869431, y: -1.2389601740234641
x: 5.795136412402531, y: -1.2575644755618773
x: 5.889519890881196, y: -0.6674682839653646
x: 5.965234088260296, y: -0.13032764525888346
x: 5.99622296724667, y: 0.08955659808937215
x: 5.610216496078561, y: 0.6973193144147141
x: 5.609351060024294, y: 1.4100379704029384
x: 5.882468135583627, y: 1.7893885095398974
x: 6.0641644595487865, y: 2.558506809587124
x: 6.06769873932103, y: 2.6578685370597612
x: 5.992489122435019, y: 2.28580799877686
x: 5.585049452756309, y: 1.7022847739929605
x: 4.887644251943916, y: 1.6012228165914746
x: 4.3198821772065, y: 2.0423098701519726
x: 3.9014754336264024, y: 2.760434427543633
x: 3.8386874224464425, y: 3.1017153807223576
x: 3.3423168726210215, y: 3.139023476466593
x: 2.7509949605924393, y: 3.4197958166730094
x: 2.4805521499722594, y: 4.082892311221434
x: 2.7615480901586404, y: 4.735153407566018
x: 2.9463908964011427, y: 5.00425140874945
x: 3.0763251611389806, y: 5.799399876668113
x: 3.567878075268851, y: 6.257693801759598
x: 4.256593718124017, y: 6.085845634239749
x: 4.320674726541598, y: 5.883028596252558
x: 4.411587049511284, y: 5.858673622828802
x: 4.461287628586339, y: 6.1929468807074075
x: 4.047166959528817, y: 6.296987217600749
x: 3.4604664064302173, y: 6.424394670224524
x: 2.7819469077781886, y: 6.303222985857799
x: 2.2436069793314246, y: 6.712139198412197
x: 2.536989364026068, y: 7.218883563946346
x: 3.041756510084251, y: 7.750725842220317
x: 3.786604614901041, y: 7.685422202894359
x: 4.3165670303399795, y: 7.337811720063788
x: 4.773953856735601, y: 7.175529479829124
x: 5.504742590037435, y: 6.962489533597969
x: 6.29143981986523, y: 6.579604847631568
x: 6.516897258377962, y: 6.467022152889303
x: 6.739246893537949, y: 6.77694630715149
x: 6.9035420207227824, y: 6.994859264454774
x: 7.0371563639005705, y: 7.543130781871152
x: 6.457258083736571, y: 7.766807192469041
x: 5.541491943984321, y: 8.101050079375577
x: 4.622029552488288, y: 8.436650222290032
x: 4.200648249941885, y: 8.590375221366708
x: 3.8425684734212213, y: 7.883750986675835
x: 3.5993965084713264, y: 7.68189726719168
x: 3.932268840789638, y: 7.432033547849902
x: 4.145694983055338, y: 7.294369619942032
x: 4.789263795618154, y: 7.213874618328076
x: 5.496892259799692, y: 7.048638651852966
x: 6.0521066198305, y: 6.681795519244912
x: 6.297865034451228, y: 6.550334247466717
x: 6.667510014202095, y: 6.693087290899246
x: 6.944660712789876, y: 7.099049727890967
x: 7.056822345426325, y: 7.4292237515612936
x: 6.770105435549483, y: 7.763935547525956
x: 6.040847243045153, y: 8.410873254284844
x: 5.853885279263663, y: 8.576737457098373
x: 5.67134449152177, y: 8.738685276320055
x: 5.488105990031243, y: 8.901251885395412
x: 4.923380353802306, y: 9.213345560008433
x: 4.629449677141773, y: 9.364820453742501
x: 4.255961201521976, y: 8.86613714221322
x: 3.814863511234244, y: 8.645239688214938
x: 3.184024533997702, y: 9.210877663337547
x: 2.789399078862216, y: 9.58457365442377
x: 2.611539147530567, y: 9.753007896987814
x: 2.43435306167777, y: 9.92079742183328
x: 1.787642630203467, y: 10.117761879169842
x: 1.3975196448390603, y: 10.371002650505872
x: 1.425703682741023, y: 10.456451029725514
x: 1.3767091743143172, y: 10.404521156430455
x: 1.5755403722406631, y: 10.135328843376794
x: 2.309741475911688, y: 9.650612162833488
x: 2.8358348471563573, y: 9.09154448130251
x: 2.92415983963012, y: 8.973032573409018
x: 3.7679300214799243, y: 8.734347166650902
x: 4.358196809982017, y: 8.316469633363177
x: 4.601880479050664, y: 7.9133411034359415
x: 5.212317107551845, y: 7.579884417871485
x: 5.7554547999625125, y: 7.095080324967071
x: 6.01633153028891, y: 6.768615406569248
x: 6.157458365146582, y: 6.602888540831155
x: 6.453616047491845, y: 6.770853688929668
x: 6.641659028471829, y: 6.888962485994845
x: 6.981090774577863, y: 7.475961411649269
x: 6.647979704887907, y: 7.736076855998021
x: 5.924484054053517, y: 8.266368004503196
x: 5.295512700149993, y: 8.806492197149753
x: 4.670159995668838, y: 9.362885735444076
x: 4.420916075182311, y: 9.180199034212462
x: 3.842532093011388, y: 8.735496100043155
