start -> translation: (7.6, 3.5, 0.05)| rotation: (0.0, 0.0, 1.0, 0.0)
x: 0.0, y: 0.0
x: 0.21779397489226623, y: -0.1941774619462202
x: 0.043254433498068304, y: -0.8956267991315798
x: -0.08675073849035864, y: -1.0394938695063178
x: 0.21008802379623556, y: -1.0749547679449116
x: 0.30304253831115274, y: -0.7572387591874862
x: 0.37694031356777313, y: -0.22790018110076182
x: 0.40554917823319675, y: -0.022859651785778073
x: -0.06665128485420893, y: 0.4483843818278258
x: 0.07770432960065114, y: 1.1116754915266611
x: 0.5780476186710801, y: 1.2146127974827994
x: 1.3856291740606155, y: 0.9138122618342367
x: 1.630057358612881, y: 0.3140108108825418
x: 1.5491520596327264, y: -0.4148808884368321
x: 1.4176871891681633, y: -0.837110896522112
x: 1.3515876023367404, y: -1.6734102251283574
x: 1.3315725030932133, y: -1.9266968597031862
x: 1.3115712596178841, y: -2.179776702486606
x: 1.292191466375379, y: -2.42500598490222
x: 1.5295278585450116, y: -2.9862248943030325
x: 1.9868250892888017, y: -2.963295547146948
x: 2.50355588255323, y: -2.9777088460402834
x: 2.5477587675764743, y: -2.7549318120337323
x: 2.5700952290349437, y: -1.8043771842281675
x: 2.592998002062953, y: -0.8297893895210522
x: 2.6109523833021693, y: -0.06683939190437418
x: 2.387124158442331, y: 0.025028469217990457
x: 1.6263878555012576, y: 0.2068283303469036
x: 1.5297599495476475, y: 0.832022739566206
x: 1.6361148821211347, y: 1.5656294359710032
x: 1.7348268445869768, y: 1.9756477036609006
x: 1.6407636914027321, y: 2.564027539185178
x: 1.5583778802472878, y: 3.187557045858871
x: 1.531947903492679, y: 3.225180299361662
x: 1.433056925590438, y: 3.3011326543468207
x: 1.4084527671234142, y: 3.211324782803295
x: 1.4602466346334322, y: 2.7999243183394613
x: 1.5860841933732903, y: 1.961719044493363
x: 1.4249996874465378, y: 1.26722314191973
x: 0.9114414884492363, y: 1.2303359411489987
x: 0.41435176157419445, y: 1.3224571359830724
x: -0.39837846812227595, y: 1.2910612591557444
x: -0.7083132043538009, y: 1.4058086237261156
x: -1.5601304382628824, y: 1.2552997109537145
x: -2.2428774811074588, y: 1.4178177631670252
x: -2.5773317012844594, y: 2.069251480719155
x: -2.324383994251358, y: 2.729562139993404
x: -2.204184158030125, y: 3.0551638107689274
x: -2.2506512204091664, y: 3.2525037834636907
x: -2.635547399101954, y: 3.115728139959618
x: -2.8850708859143896, y: 2.9458793988281013
x: -3.081220704185694, y: 2.170969985487788
x: -3.328257178532973, y: 1.4869482461206056
x: -3.714227090938457, y: 0.688378718829004
x: -4.170754536206413, y: 0.06772191176346516
x: -4.821137498495624, y: -0.109228038675667
x: -5.381215732767101, y: 0.31478098764505813
x: -5.5058390917028746, y: 0.8063303491959244
x: -5.20251601076983, y: 1.052184807387211
x: -5.068343435475598, y: 1.5252696578508564
x: -4.804213797519762, y: 2.4802297157447435
x: -4.543327861854611, y: 3.423615739270042
x: -4.354768745188752, y: 4.105329039799732
x: -4.539859866599578, y: 4.308681303981341
x: -4.964058818374394, y: 4.899474367812992
x: -5.117764581171263, y: 5.368644141595163
x: -5.477030989794387, y: 5.867104970863077
x: -5.43158042883331, y: 6.449074088918214
x: -4.821765148862736, y: 6.687502402393463
x: -4.195244020203101, y: 6.415650966841056
x: -3.9555721109841975, y: 5.781567748235332
x: -4.011013339637963, y: 5.510130590636904
x: -3.694347875635972, y: 4.820000993073959
x: -3.594673819263828, y: 4.697708895269515
x: -3.1903855496201485, y: 4.946258636529081
x: -3.3004024332879993, y: 5.508103057568703
x: -3.304331566124715, y: 6.0073529736081355
x: -3.47492818761243, y: 6.365930471042841
x: -3.7380742646028744, y: 6.456973537732076
x: -4.498731170046728, y: 6.625033470575207
x: -4.854413796952972, y: 7.062987754317666
x: -4.607572984765092, y: 7.135749313567978
x: -4.766177121009344, y: 6.681455920567272
x: -5.414692380851029, y: 6.596186771059252
x: -5.712260401014375, y: 6.560635680573674
x: -5.9367576520525045, y: 6.488041278694107
x: -6.339337186801648, y: 6.089374015160026
x: -6.409687213785912, y: 5.7969824344290375
x: -6.417053794603677, y: 5.321928973904796
x: -5.832411659634966, y: 5.076507001334729
x: -5.399064826144838, y: 4.520635858630042
x: -5.493511449242504, y: 3.7935918886804414
x: -5.8446047361113775, y: 3.2070773659845533
x: -6.452785396459242, y: 2.772823190069751
x: -7.241964680278802, y: 2.4074987541848105
x: -7.78973721109885, y: 2.691665280083681
x: -7.954639666756523, y: 3.3558088324528037
