start -> translation: (5.2, 6.0, 0.05)| rotation: (0.0, 0.0, 1.0, 0.0)
x: 0.0, y: 0.0
x: 0.06999755974033679, y: -0.293482169165276
x: -0.30985038264372544, y: -0.7693762156666336
x: -0.4167853985699561, y: -0.958790652832413
x: -0.5237123581043094, y: -1.9117096649138743
x: -0.6852665274945239, y: -2.674901512259663
x: -1.0879315013315969, y: -3.159854965685172
x: -1.719794668993991, y: -3.187560990163926
x: -2.2038937906222826, y: -2.6790396330533297
x: -2.085015249461959, y: -2.2094833828703893
x: -2.0734445458274537, y: -1.779560919227785
x: -2.104361679086432, y: -0.7852894913092978
x: -2.1345316482916514, y: 0.18495371043448164
x: -2.147770311179855, y: 0.9171150843294023
x: -2.4210894222500032, y: 0.9784063847515804
x: -2.871364859168346, y: 1.047969118248204
x: -3.1105826714714975, y: 1.0849297593564664
x: -3.469753941135556, y: 1.032130144624157
x: -4.171541313909053, y: 0.899399917052361
x: -4.617861756886723, y: 1.3295287895830046
x: -4.459641783061904, y: 1.9831796261181103
x: -3.8637320714322394, y: 2.3387014992438386
x: -3.2027549111274283, y: 2.1534265620501216
x: -2.9575894343123816, y: 1.9774411240101348
x: -2.1541532024197565, y: 1.9841753991657285
x: -2.051923543012521, y: 1.8370593657675403
x: -2.0394379583482642, y: 2.1188499305058834
x: -2.0722415077418335, y: 2.4035177047376837
x: -2.8073287070947543, y: 2.7200509721211152
x: -3.0477730533400407, y: 2.9036218661369606
x: -3.5031673676963204, y: 2.8935545053035274
x: -3.966742854471151, y: 2.2711181738228374
x: -4.633058054124091, y: 2.1293598251950563
x: -4.6862951470787815, y: 2.3701864655656375
x: -4.330150122290919, y: 2.116817627883801
x: -4.343926253127906, y: 1.4262246915261614
x: -4.447288646971708, y: 1.1515087248345015
x: -4.2367172297390026, y: 0.2745261648810083
x: -3.9453627276358163, y: 0.18546302193489067
x: -3.518529543660269, y: 0.0940533717776478
x: -3.083133105516436, y: 0.5086891348837638
x: -2.4079522428142015, y: 0.6741829802198799
x: -1.75873807778152, y: 0.3191529979242316
x: -1.394089313857906, y: -0.028429805769328513
x: -1.190402155940929, y: -0.7011383833842106
x: -1.0988980135156383, y: -1.5541588394147994
x: -1.2216293772744855, y: -2.0124066688687656
x: -1.7567359824294626, y: -2.2426714579162366
x: -2.411242037896825, y: -1.992134947785782
x: -2.6606871696156524, y: -1.372299552744043
x: -2.4402446083117897, y: -0.9627960645672458
x: -2.4274479915656864, y: -0.8944257903786064
x: -2.8637513847308322, y: -1.0237452971393195
x: -3.73699761492663, y: -1.3034017281374293
x: -3.738108826403961, y: -1.4490972859678244
x: -3.4139416768627298, y: -2.313127758941975
x: -3.0855651491086253, y: -3.188416999278275
x: -2.9116942358654674, y: -3.647184028959093
x: -2.2637579614006946, y: -3.5166661299528768
x: -2.030122046946231, y: -3.466071700448939
x: -1.8298963083195972, y: -3.4224397835596645
x: -1.5656595298321176, y: -3.2012643792476756
x: -1.796894485599582, y: -2.5092058676795883
x: -1.586385820659144, y: -2.067242645265333
x: -0.9410010692324536, y: -1.906592925156087
x: -0.32244043575316966, y: -2.179175881109784
x: -0.08142472101942567, y: -2.8352527868331943
