start -> translation: (1.8, 6.3, 0.05)| rotation: (0.0, 0.0, 1.0, 0.0)
x: 0.0, y: 0.0
x: 0.6173286911458497, y: -0.25392714181743237
x: 1.162148355624025, y: -0.9310020112200842
x: 1.3431334465207367, y: -1.4757574451070095
x: 1.3164656929693324, y: -2.200788082332913
x: 1.0886634869452783, y: -2.9011971969849135
x: 0.7530873577644468, y: -2.974792101723611
x: 0.12446694735511057, y: -2.6655418302548455
x: -0.12187073457787163, y: -2.055006554432172
x: 0.08822266029070581, y: -1.5022626650437716
x: 0.354787821015086, y: -1.5602141254377324
x: -0.05630753221198517, y: -1.7868779593608806
x: -0.6470059851232371, y: -1.467174022258633
x: -0.7824169191083913, y: -1.2386274567987143
x: -0.9792882742878756, y: -1.1588576530657166
x: -1.1250588044402774, y: -1.8474829597013682
x: -1.2747405474487123, y: -2.6252760226823466
x: -1.487367951944493, y: -3.484372667699967
x: -1.3854158039153104, y: -3.576298277136947
x: -0.6152347438461844, y: -3.6830403044545554
x: -0.09524903499163173, y: -3.8443829268351792
x: 0.024652258842153316, y: -3.4781641937700356
x: 0.3590478086187164, y: -2.9062905831769394
x: 0.9270831668050115, y: -2.9724189926608653
x: 1.4313179225722503, y: -3.423574752266687
x: 1.4762641317072716, y: -4.1017975730310745
x: 1.0798510665091663, y: -4.583376894601939
x: 0.8079428707907328, y: -4.902269847706018
x: 0.2699349527372421, y: -5.422910002585228
x: -0.4270754405485441, y: -5.373843959760069
x: -1.1280935211890826, y: -4.925236256433642
x: -1.4924173662633566, y: -4.910079261373682
x: -1.7259529859733638, y: -5.056651080599006
x: -1.8036636489419107, y: -5.231796808762203
x: -1.1755542621223478, y: -5.445716373028391
x: -0.4795211069847217, y: -5.669888103120661
x: 0.36625924886046396, y: -5.52369842573231
x: 1.030421005770062, y: -5.7507343744490065
x: 1.266610182770699, y: -6.0148718857848
x: 1.951288699666288, y: -6.290203131798282
x: 2.0256606936026538, y: -6.300637000786043
x: 1.61754403626688, y: -6.137467845970496
x: 1.1293212983996872, y: -5.645613070589296
x: 1.1525572149030505, y: -4.936635109372686
x: 1.6719373517540288, y: -4.468376169748718
x: 2.4106322429070985, y: -4.17818639578934
x: 2.7929962910872623, y: -4.160159460998093
x: 2.9961393168353996, y: -3.7668300616479904
x: 3.4204298584899213, y: -3.1023692118547683
x: 4.06527721279511, y: -2.916058835595971
x: 4.674100777596588, y: -3.2782596071926378
x: 4.9210536020458635, y: -3.545738658652541
x: 5.655537273878625, y: -3.9510708407152255
x: 5.930690040746766, y: -4.61579904994476
x: 5.753625218544699, y: -5.091284103061977
x: 5.573357473158404, y: -4.86604618551294
x: 5.895702667053756, y: -4.230432980157786
x: 6.059605502745922, y: -4.099515482747416
x: 5.910751427356079, y: -3.465961125963543
x: 6.291194473215622, y: -2.897214902106885
x: 6.842060399604282, y: -2.993829291066952
x: 7.449237094482249, y: -3.310785353430208
x: 7.647684376022296, y: -4.090540661026621
x: 7.422225972840858, y: -4.771345797640903
x: 7.300590655445134, y: -5.05842323585009
x: 7.189222557431503, y: -6.018866119245397
x: 7.079250850602237, y: -6.967266150105938
x: 7.147811502716418, y: -7.153617809381895
x: 7.432006171354836, y: -7.314996958254524
x: 8.106856235402832, y: -7.329499509375554
x: 8.192308593124721, y: -7.03734236830985
x: 8.323731639576534, y: -6.087700965517491
x: 8.451878250241085, y: -5.161665876587054
x: 8.55617919353759, y: -4.407653052037567
x: 8.445200925946533, y: -4.319861502506385
x: 7.710646081588197, y: -4.19631257591474
x: 7.601422743378998, y: -3.698901426748674
x: 7.706349974594188, y: -2.753891697956277
x: 7.808142966718509, y: -1.8857078193061987
x: 7.913227972749858, y: -1.1368325362376597
x: 7.869246080878546, y: -1.0339516420785637
x: 7.72663072038769, y: -1.1939218118932509
x: 7.581659233439374, y: -1.7898711676741474
x: 7.5603748735536085, y: -2.4003410836314907
x: 7.35522227977359, y: -2.97507595627796
x: 7.378487788842583, y: -3.156057192354587
x: 7.684995002115516, y: -3.9171141398415585
x: 7.5681035386838325, y: -4.596669227448611
