Zone,Trial,Path Length,Max Distance
Zone 1,1,99.33882459160024,10.022901122164823
Zone 1,2,103.26884831965549,11.071614248110784
Zone 1,3,68.88974441979832,7.270763476587419
Zone 1,4,77.57647670960303,11.435628149726089
Zone 1,5,196.42826805559082,14.692558621559643
Zone 2,1,76.0684823690834,7.536954391908876
Zone 2,2,79.31981487676774,7.123253897456327
Zone 2,3,107.44112296030258,7.287256869027278
Zone 2,4,101.64252757373804,9.704256304391071
Zone 2,5,173.71518849969428,7.386423256471574
Zone 3,1,104.04040578175238,10.775870198960906
Zone 3,2,85.0564362028016,10.652264569807294
Zone 3,3,66.78372723900368,10.21021830982761
Zone 3,4,110.36515948786561,11.05343791334229
Zone 3,5,73.96780939140376,10.580126150625524
Zone 4,1,97.34877066725798,10.892453548800368
Zone 4,2,122.49295723906727,11.291246375072237
Zone 4,3,78.37581979096274,10.7389763869382
Zone 4,4,71.37424098241553,10.334095478307155
Zone 4,5,98.99820338291005,11.072786787576593
